,away_name,away_abbr,home_name,home_abbr,winning_name,winning_abbr,week,year
718,Detroit Lions,det,Green Bay Packers,gnb,Green Bay Packers,gnb,14,2012
719,Houston Texans,htx,New England Patriots,nwe,New England Patriots,nwe,14,2012
720,Cincinnati Bengals,cin,Philadelphia Eagles,phi,Cincinnati Bengals,cin,15,2012
721,Minnesota Vikings,min,Los Angeles Rams,ram,Minnesota Vikings,min,15,2012
722,Denver Broncos,den,Baltimore Ravens,rav,Denver Broncos,den,15,2012
723,Indianapolis Colts,clt,Houston Texans,htx,Houston Texans,htx,15,2012
724,New York Giants,nyg,Atlanta Falcons,atl,Atlanta Falcons,atl,15,2012
725,Tampa Bay Buccaneers,tam,New Orleans Saints,nor,New Orleans Saints,nor,15,2012
726,Jacksonville Jaguars,jax,Miami Dolphins,mia,Miami Dolphins,mia,15,2012
727,Washington Football Team,was,Cleveland Browns,cle,Washington Football Team,was,15,2012
728,Green Bay Packers,gnb,Chicago Bears,chi,Green Bay Packers,gnb,15,2012
729,Seattle Seahawks,sea,Buffalo Bills,buf,Seattle Seahawks,sea,15,2012
730,Carolina Panthers,car,Los Angeles Chargers,sdg,Carolina Panthers,car,15,2012
731,Detroit Lions,det,Arizona Cardinals,crd,Arizona Cardinals,crd,15,2012
732,Kansas City Chiefs,kan,Las Vegas Raiders,rai,Las Vegas Raiders,rai,15,2012
733,Pittsburgh Steelers,pit,Dallas Cowboys,dal,Dallas Cowboys,dal,15,2012
734,San Francisco 49ers,sfo,New England Patriots,nwe,San Francisco 49ers,sfo,15,2012
735,New York Jets,nyj,Tennessee Titans,oti,Tennessee Titans,oti,15,2012
736,Atlanta Falcons,atl,Detroit Lions,det,Atlanta Falcons,atl,16,2012
737,Cincinnati Bengals,cin,Pittsburgh Steelers,pit,Cincinnati Bengals,cin,16,2012
738,Buffalo Bills,buf,Miami Dolphins,mia,Miami Dolphins,mia,16,2012
739,New England Patriots,nwe,Jacksonville Jaguars,jax,New England Patriots,nwe,16,2012
740,Tennessee Titans,oti,Green Bay Packers,gnb,Green Bay Packers,gnb,16,2012
741,New Orleans Saints,nor,Dallas Cowboys,dal,New Orleans Saints,nor,16,2012
742,Los Angeles Rams,ram,Tampa Bay Buccaneers,tam,Los Angeles Rams,ram,16,2012
743,Washington Football Team,was,Philadelphia Eagles,phi,Washington Football Team,was,16,2012
744,Los Angeles Chargers,sdg,New York Jets,nyj,Los Angeles Chargers,sdg,16,2012
745,Indianapolis Colts,clt,Kansas City Chiefs,kan,Indianapolis Colts,clt,16,2012
746,Minnesota Vikings,min,Houston Texans,htx,Minnesota Vikings,min,16,2012
747,Las Vegas Raiders,rai,Carolina Panthers,car,Carolina Panthers,car,16,2012
748,Cleveland Browns,cle,Denver Broncos,den,Denver Broncos,den,16,2012
749,Chicago Bears,chi,Arizona Cardinals,crd,Chicago Bears,chi,16,2012
750,New York Giants,nyg,Baltimore Ravens,rav,Baltimore Ravens,rav,16,2012
751,San Francisco 49ers,sfo,Seattle Seahawks,sea,Seattle Seahawks,sea,16,2012
752,New York Jets,nyj,Buffalo Bills,buf,Buffalo Bills,buf,17,2012
753,Tampa Bay Buccaneers,tam,Atlanta Falcons,atl,Tampa Bay Buccaneers,tam,17,2012
754,Cleveland Browns,cle,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,17,2012
755,Jacksonville Jaguars,jax,Tennessee Titans,oti,Tennessee Titans,oti,17,2012
756,Houston Texans,htx,Indianapolis Colts,clt,Indianapolis Colts,clt,17,2012
757,Baltimore Ravens,rav,Cincinnati Bengals,cin,Cincinnati Bengals,cin,17,2012
758,Carolina Panthers,car,New Orleans Saints,nor,Carolina Panthers,car,17,2012
759,Chicago Bears,chi,Detroit Lions,det,Chicago Bears,chi,17,2012
760,Philadelphia Eagles,phi,New York Giants,nyg,New York Giants,nyg,17,2012
761,Las Vegas Raiders,rai,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,17,2012
762,Arizona Cardinals,crd,San Francisco 49ers,sfo,San Francisco 49ers,sfo,17,2012
763,Miami Dolphins,mia,New England Patriots,nwe,New England Patriots,nwe,17,2012
764,Green Bay Packers,gnb,Minnesota Vikings,min,Minnesota Vikings,min,17,2012
765,Kansas City Chiefs,kan,Denver Broncos,den,Denver Broncos,den,17,2012
766,Los Angeles Rams,ram,Seattle Seahawks,sea,Seattle Seahawks,sea,17,2012
767,Dallas Cowboys,dal,Washington Football Team,was,Washington Football Team,was,17,2012
768,Baltimore Ravens,rav,Denver Broncos,den,Denver Broncos,den,1,2013
769,New England Patriots,nwe,Buffalo Bills,buf,New England Patriots,nwe,1,2013
770,Tennessee Titans,oti,Pittsburgh Steelers,pit,Tennessee Titans,oti,1,2013
771,Minnesota Vikings,min,Detroit Lions,det,Detroit Lions,det,1,2013
772,Las Vegas Raiders,rai,Indianapolis Colts,clt,Indianapolis Colts,clt,1,2013
773,Miami Dolphins,mia,Cleveland Browns,cle,Miami Dolphins,mia,1,2013
774,Cincinnati Bengals,cin,Chicago Bears,chi,Chicago Bears,chi,1,2013
775,Tampa Bay Buccaneers,tam,New York Jets,nyj,New York Jets,nyj,1,2013
776,Atlanta Falcons,atl,New Orleans Saints,nor,New Orleans Saints,nor,1,2013
777,Kansas City Chiefs,kan,Jacksonville Jaguars,jax,Kansas City Chiefs,kan,1,2013
778,Seattle Seahawks,sea,Carolina Panthers,car,Seattle Seahawks,sea,1,2013
779,Arizona Cardinals,crd,Los Angeles Rams,ram,Los Angeles Rams,ram,1,2013
780,Green Bay Packers,gnb,San Francisco 49ers,sfo,San Francisco 49ers,sfo,1,2013
781,New York Giants,nyg,Dallas Cowboys,dal,Dallas Cowboys,dal,1,2013
782,Philadelphia Eagles,phi,Washington Football Team,was,Philadelphia Eagles,phi,1,2013
783,Houston Texans,htx,Los Angeles Chargers,sdg,Houston Texans,htx,1,2013
784,New York Jets,nyj,New England Patriots,nwe,New England Patriots,nwe,2,2013
785,Carolina Panthers,car,Buffalo Bills,buf,Buffalo Bills,buf,2,2013
786,Cleveland Browns,cle,Baltimore Ravens,rav,Baltimore Ravens,rav,2,2013
787,Los Angeles Chargers,sdg,Philadelphia Eagles,phi,Los Angeles Chargers,sdg,2,2013
788,Dallas Cowboys,dal,Kansas City Chiefs,kan,Kansas City Chiefs,kan,2,2013
789,Washington Football Team,was,Green Bay Packers,gnb,Green Bay Packers,gnb,2,2013
790,Miami Dolphins,mia,Indianapolis Colts,clt,Miami Dolphins,mia,2,2013
791,Los Angeles Rams,ram,Atlanta Falcons,atl,Atlanta Falcons,atl,2,2013
792,Tennessee Titans,oti,Houston Texans,htx,Houston Texans,htx,2,2013
793,Minnesota Vikings,min,Chicago Bears,chi,Chicago Bears,chi,2,2013
794,New Orleans Saints,nor,Tampa Bay Buccaneers,tam,New Orleans Saints,nor,2,2013
795,Detroit Lions,det,Arizona Cardinals,crd,Arizona Cardinals,crd,2,2013
796,Jacksonville Jaguars,jax,Las Vegas Raiders,rai,Las Vegas Raiders,rai,2,2013
797,Denver Broncos,den,New York Giants,nyg,Denver Broncos,den,2,2013
798,San Francisco 49ers,sfo,Seattle Seahawks,sea,Seattle Seahawks,sea,2,2013
799,Pittsburgh Steelers,pit,Cincinnati Bengals,cin,Cincinnati Bengals,cin,2,2013
800,Kansas City Chiefs,kan,Philadelphia Eagles,phi,Kansas City Chiefs,kan,3,2013
801,Tampa Bay Buccaneers,tam,New England Patriots,nwe,New England Patriots,nwe,3,2013
802,Los Angeles Rams,ram,Dallas Cowboys,dal,Dallas Cowboys,dal,3,2013
803,Green Bay Packers,gnb,Cincinnati Bengals,cin,Cincinnati Bengals,cin,3,2013
804,New York Giants,nyg,Carolina Panthers,car,Carolina Panthers,car,3,2013
805,Detroit Lions,det,Washington Football Team,was,Detroit Lions,det,3,2013
806,Houston Texans,htx,Baltimore Ravens,rav,Baltimore Ravens,rav,3,2013
807,Los Angeles Chargers,sdg,Tennessee Titans,oti,Tennessee Titans,oti,3,2013
808,Arizona Cardinals,crd,New Orleans Saints,nor,New Orleans Saints,nor,3,2013
809,Cleveland Browns,cle,Minnesota Vikings,min,Cleveland Browns,cle,3,2013
810,Atlanta Falcons,atl,Miami Dolphins,mia,Miami Dolphins,mia,3,2013
811,Indianapolis Colts,clt,San Francisco 49ers,sfo,Indianapolis Colts,clt,3,2013
812,Buffalo Bills,buf,New York Jets,nyj,New York Jets,nyj,3,2013
813,Jacksonville Jaguars,jax,Seattle Seahawks,sea,Seattle Seahawks,sea,3,2013
814,Chicago Bears,chi,Pittsburgh Steelers,pit,Chicago Bears,chi,3,2013
815,Las Vegas Raiders,rai,Denver Broncos,den,Denver Broncos,den,3,2013
816,San Francisco 49ers,sfo,Los Angeles Rams,ram,San Francisco 49ers,sfo,4,2013
817,Baltimore Ravens,rav,Buffalo Bills,buf,Buffalo Bills,buf,4,2013
818,New York Giants,nyg,Kansas City Chiefs,kan,Kansas City Chiefs,kan,4,2013
819,Arizona Cardinals,crd,Tampa Bay Buccaneers,tam,Arizona Cardinals,crd,4,2013
820,Seattle Seahawks,sea,Houston Texans,htx,Seattle Seahawks,sea,4,2013
821,Chicago Bears,chi,Detroit Lions,det,Detroit Lions,det,4,2013
822,Indianapolis Colts,clt,Jacksonville Jaguars,jax,Indianapolis Colts,clt,4,2013
823,Cincinnati Bengals,cin,Cleveland Browns,cle,Cleveland Browns,cle,4,2013
824,Pittsburgh Steelers,pit,Minnesota Vikings,min,Minnesota Vikings,min,4,2013
825,New York Jets,nyj,Tennessee Titans,oti,Tennessee Titans,oti,4,2013
826,Dallas Cowboys,dal,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,4,2013
827,Washington Football Team,was,Las Vegas Raiders,rai,Washington Football Team,was,4,2013
828,Philadelphia Eagles,phi,Denver Broncos,den,Denver Broncos,den,4,2013
829,New England Patriots,nwe,Atlanta Falcons,atl,New England Patriots,nwe,4,2013
830,Miami Dolphins,mia,New Orleans Saints,nor,New Orleans Saints,nor,4,2013
831,Buffalo Bills,buf,Cleveland Browns,cle,Cleveland Browns,cle,5,2013
832,Jacksonville Jaguars,jax,Los Angeles Rams,ram,Los Angeles Rams,ram,5,2013
833,New England Patriots,nwe,Cincinnati Bengals,cin,Cincinnati Bengals,cin,5,2013
834,New Orleans Saints,nor,Chicago Bears,chi,New Orleans Saints,nor,5,2013
835,Philadelphia Eagles,phi,New York Giants,nyg,Philadelphia Eagles,phi,5,2013
836,Baltimore Ravens,rav,Miami Dolphins,mia,Baltimore Ravens,rav,5,2013
837,Detroit Lions,det,Green Bay Packers,gnb,Green Bay Packers,gnb,5,2013
838,Kansas City Chiefs,kan,Tennessee Titans,oti,Kansas City Chiefs,kan,5,2013
839,Seattle Seahawks,sea,Indianapolis Colts,clt,Indianapolis Colts,clt,5,2013
840,Carolina Panthers,car,Arizona Cardinals,crd,Arizona Cardinals,crd,5,2013
841,Denver Broncos,den,Dallas Cowboys,dal,Denver Broncos,den,5,2013
842,Houston Texans,htx,San Francisco 49ers,sfo,San Francisco 49ers,sfo,5,2013
843,Los Angeles Chargers,sdg,Las Vegas Raiders,rai,Las Vegas Raiders,rai,5,2013
844,New York Jets,nyj,Atlanta Falcons,atl,New York Jets,nyj,5,2013
845,New York Giants,nyg,Chicago Bears,chi,Chicago Bears,chi,6,2013
846,Detroit Lions,det,Cleveland Browns,cle,Detroit Lions,det,6,2013
847,Cincinnati Bengals,cin,Buffalo Bills,buf,Cincinnati Bengals,cin,6,2013
848,Green Bay Packers,gnb,Baltimore Ravens,rav,Green Bay Packers,gnb,6,2013
849,Las Vegas Raiders,rai,Kansas City Chiefs,kan,Kansas City Chiefs,kan,6,2013
850,Philadelphia Eagles,phi,Tampa Bay Buccaneers,tam,Philadelphia Eagles,phi,6,2013
851,Pittsburgh Steelers,pit,New York Jets,nyj,Pittsburgh Steelers,pit,6,2013
852,Los Angeles Rams,ram,Houston Texans,htx,Los Angeles Rams,ram,6,2013
853,Carolina Panthers,car,Minnesota Vikings,min,Carolina Panthers,car,6,2013
854,Jacksonville Jaguars,jax,Denver Broncos,den,Denver Broncos,den,6,2013
855,Tennessee Titans,oti,Seattle Seahawks,sea,Seattle Seahawks,sea,6,2013
856,Arizona Cardinals,crd,San Francisco 49ers,sfo,San Francisco 49ers,sfo,6,2013
857,New Orleans Saints,nor,New England Patriots,nwe,New England Patriots,nwe,6,2013
858,Washington Football Team,was,Dallas Cowboys,dal,Dallas Cowboys,dal,6,2013
859,Indianapolis Colts,clt,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,6,2013
860,Seattle Seahawks,sea,Arizona Cardinals,crd,Seattle Seahawks,sea,7,2013
861,Tampa Bay Buccaneers,tam,Atlanta Falcons,atl,Atlanta Falcons,atl,7,2013
862,Dallas Cowboys,dal,Philadelphia Eagles,phi,Dallas Cowboys,dal,7,2013
863,Buffalo Bills,buf,Miami Dolphins,mia,Buffalo Bills,buf,7,2013
864,Los Angeles Chargers,sdg,Jacksonville Jaguars,jax,Los Angeles Chargers,sdg,7,2013
865,Cincinnati Bengals,cin,Detroit Lions,det,Cincinnati Bengals,cin,7,2013
866,Los Angeles Rams,ram,Carolina Panthers,car,Carolina Panthers,car,7,2013
867,New England Patriots,nwe,New York Jets,nyj,New York Jets,nyj,7,2013
868,Chicago Bears,chi,Washington Football Team,was,Washington Football Team,was,7,2013
869,San Francisco 49ers,sfo,Tennessee Titans,oti,San Francisco 49ers,sfo,7,2013
870,Baltimore Ravens,rav,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,7,2013
871,Cleveland Browns,cle,Green Bay Packers,gnb,Green Bay Packers,gnb,7,2013
872,Houston Texans,htx,Kansas City Chiefs,kan,Kansas City Chiefs,kan,7,2013
873,Denver Broncos,den,Indianapolis Colts,clt,Indianapolis Colts,clt,7,2013
874,Minnesota Vikings,min,New York Giants,nyg,New York Giants,nyg,7,2013
875,Carolina Panthers,car,Tampa Bay Buccaneers,tam,Carolina Panthers,car,8,2013
876,New York Giants,nyg,Philadelphia Eagles,phi,New York Giants,nyg,8,2013
877,Miami Dolphins,mia,New England Patriots,nwe,New England Patriots,nwe,8,2013
878,Buffalo Bills,buf,New Orleans Saints,nor,New Orleans Saints,nor,8,2013
879,Cleveland Browns,cle,Kansas City Chiefs,kan,Kansas City Chiefs,kan,8,2013
880,Dallas Cowboys,dal,Detroit Lions,det,Detroit Lions,det,8,2013
881,San Francisco 49ers,sfo,Jacksonville Jaguars,jax,San Francisco 49ers,sfo,8,2013
882,Pittsburgh Steelers,pit,Las Vegas Raiders,rai,Las Vegas Raiders,rai,8,2013
883,New York Jets,nyj,Cincinnati Bengals,cin,Cincinnati Bengals,cin,8,2013
884,Atlanta Falcons,atl,Arizona Cardinals,crd,Arizona Cardinals,crd,8,2013
885,Washington Football Team,was,Denver Broncos,den,Denver Broncos,den,8,2013
886,Green Bay Packers,gnb,Minnesota Vikings,min,Green Bay Packers,gnb,8,2013
887,Seattle Seahawks,sea,Los Angeles Rams,ram,Seattle Seahawks,sea,8,2013
888,Cincinnati Bengals,cin,Miami Dolphins,mia,Miami Dolphins,mia,9,2013
889,Tennessee Titans,oti,Los Angeles Rams,ram,Tennessee Titans,oti,9,2013
890,Kansas City Chiefs,kan,Buffalo Bills,buf,Kansas City Chiefs,kan,9,2013
891,Atlanta Falcons,atl,Carolina Panthers,car,Carolina Panthers,car,9,2013
892,Los Angeles Chargers,sdg,Washington Football Team,was,Washington Football Team,was,9,2013
893,Minnesota Vikings,min,Dallas Cowboys,dal,Dallas Cowboys,dal,9,2013
894,New Orleans Saints,nor,New York Jets,nyj,New York Jets,nyj,9,2013
895,Tampa Bay Buccaneers,tam,Seattle Seahawks,sea,Seattle Seahawks,sea,9,2013
896,Philadelphia Eagles,phi,Las Vegas Raiders,rai,Philadelphia Eagles,phi,9,2013
897,Pittsburgh Steelers,pit,New England Patriots,nwe,New England Patriots,nwe,9,2013
898,Baltimore Ravens,rav,Cleveland Browns,cle,Cleveland Browns,cle,9,2013
899,Indianapolis Colts,clt,Houston Texans,htx,Indianapolis Colts,clt,9,2013
900,Chicago Bears,chi,Green Bay Packers,gnb,Chicago Bears,chi,9,2013
901,Washington Football Team,was,Minnesota Vikings,min,Minnesota Vikings,min,10,2013
902,Cincinnati Bengals,cin,Baltimore Ravens,rav,Baltimore Ravens,rav,10,2013
903,Buffalo Bills,buf,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,10,2013
904,Jacksonville Jaguars,jax,Tennessee Titans,oti,Jacksonville Jaguars,jax,10,2013
905,Philadelphia Eagles,phi,Green Bay Packers,gnb,Philadelphia Eagles,phi,10,2013
906,Detroit Lions,det,Chicago Bears,chi,Detroit Lions,det,10,2013
907,Seattle Seahawks,sea,Atlanta Falcons,atl,Seattle Seahawks,sea,10,2013
908,Las Vegas Raiders,rai,New York Giants,nyg,New York Giants,nyg,10,2013
909,Los Angeles Rams,ram,Indianapolis Colts,clt,Los Angeles Rams,ram,10,2013
910,Carolina Panthers,car,San Francisco 49ers,sfo,Carolina Panthers,car,10,2013
911,Denver Broncos,den,Los Angeles Chargers,sdg,Denver Broncos,den,10,2013
912,Houston Texans,htx,Arizona Cardinals,crd,Arizona Cardinals,crd,10,2013
913,Dallas Cowboys,dal,New Orleans Saints,nor,New Orleans Saints,nor,10,2013
914,Miami Dolphins,mia,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,10,2013
915,Indianapolis Colts,clt,Tennessee Titans,oti,Indianapolis Colts,clt,11,2013
916,Baltimore Ravens,rav,Chicago Bears,chi,Chicago Bears,chi,11,2013
917,New York Jets,nyj,Buffalo Bills,buf,Buffalo Bills,buf,11,2013
918,Detroit Lions,det,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,11,2013
919,Washington Football Team,was,Philadelphia Eagles,phi,Philadelphia Eagles,phi,11,2013
920,Cleveland Browns,cle,Cincinnati Bengals,cin,Cincinnati Bengals,cin,11,2013
921,Atlanta Falcons,atl,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,11,2013
922,Las Vegas Raiders,rai,Houston Texans,htx,Las Vegas Raiders,rai,11,2013
923,Arizona Cardinals,crd,Jacksonville Jaguars,jax,Arizona Cardinals,crd,11,2013
924,Los Angeles Chargers,sdg,Miami Dolphins,mia,Miami Dolphins,mia,11,2013
925,Green Bay Packers,gnb,New York Giants,nyg,New York Giants,nyg,11,2013
926,San Francisco 49ers,sfo,New Orleans Saints,nor,New Orleans Saints,nor,11,2013
927,Minnesota Vikings,min,Seattle Seahawks,sea,Seattle Seahawks,sea,11,2013
928,Kansas City Chiefs,kan,Denver Broncos,den,Denver Broncos,den,11,2013
929,New England Patriots,nwe,Carolina Panthers,car,Carolina Panthers,car,11,2013
930,New Orleans Saints,nor,Atlanta Falcons,atl,New Orleans Saints,nor,12,2013
931,Chicago Bears,chi,Los Angeles Rams,ram,Los Angeles Rams,ram,12,2013
932,New York Jets,nyj,Baltimore Ravens,rav,Baltimore Ravens,rav,12,2013
933,Jacksonville Jaguars,jax,Houston Texans,htx,Jacksonville Jaguars,jax,12,2013
934,Minnesota Vikings,min,Green Bay Packers,gnb,,,12,2013
935,Pittsburgh Steelers,pit,Cleveland Browns,cle,Pittsburgh Steelers,pit,12,2013
936,Carolina Panthers,car,Miami Dolphins,mia,Carolina Panthers,car,12,2013
937,Los Angeles Chargers,sdg,Kansas City Chiefs,kan,Los Angeles Chargers,sdg,12,2013
938,Tampa Bay Buccaneers,tam,Detroit Lions,det,Tampa Bay Buccaneers,tam,12,2013
939,Indianapolis Colts,clt,Arizona Cardinals,crd,Arizona Cardinals,crd,12,2013
940,Tennessee Titans,oti,Las Vegas Raiders,rai,Tennessee Titans,oti,12,2013
941,Dallas Cowboys,dal,New York Giants,nyg,Dallas Cowboys,dal,12,2013
942,Denver Broncos,den,New England Patriots,nwe,New England Patriots,nwe,12,2013
943,San Francisco 49ers,sfo,Washington Football Team,was,San Francisco 49ers,sfo,12,2013
944,Green Bay Packers,gnb,Detroit Lions,det,Detroit Lions,det,13,2013
945,Las Vegas Raiders,rai,Dallas Cowboys,dal,Dallas Cowboys,dal,13,2013
946,Pittsburgh Steelers,pit,Baltimore Ravens,rav,Baltimore Ravens,rav,13,2013
947,Arizona Cardinals,crd,Philadelphia Eagles,phi,Philadelphia Eagles,phi,13,2013
948,Miami Dolphins,mia,New York Jets,nyj,Miami Dolphins,mia,13,2013
949,New England Patriots,nwe,Houston Texans,htx,New England Patriots,nwe,13,2013
950,Tennessee Titans,oti,Indianapolis Colts,clt,Indianapolis Colts,clt,13,2013
951,Jacksonville Jaguars,jax,Cleveland Browns,cle,Jacksonville Jaguars,jax,13,2013
952,Tampa Bay Buccaneers,tam,Carolina Panthers,car,Carolina Panthers,car,13,2013
953,Chicago Bears,chi,Minnesota Vikings,min,Minnesota Vikings,min,13,2013
954,Los Angeles Rams,ram,San Francisco 49ers,sfo,San Francisco 49ers,sfo,13,2013
955,Atlanta Falcons,atl,Buffalo Bills,buf,Atlanta Falcons,atl,13,2013
956,Cincinnati Bengals,cin,Los Angeles Chargers,sdg,Cincinnati Bengals,cin,13,2013
957,Denver Broncos,den,Kansas City Chiefs,kan,Denver Broncos,den,13,2013
958,New York Giants,nyg,Washington Football Team,was,New York Giants,nyg,13,2013
959,New Orleans Saints,nor,Seattle Seahawks,sea,Seattle Seahawks,sea,13,2013
960,Houston Texans,htx,Jacksonville Jaguars,jax,Jacksonville Jaguars,jax,14,2013
961,Indianapolis Colts,clt,Cincinnati Bengals,cin,Cincinnati Bengals,cin,14,2013
962,Buffalo Bills,buf,Tampa Bay Buccaneers,tam,Tampa Bay Buccaneers,tam,14,2013
963,Miami Dolphins,mia,Pittsburgh Steelers,pit,Miami Dolphins,mia,14,2013
964,Detroit Lions,det,Philadelphia Eagles,phi,Philadelphia Eagles,phi,14,2013
965,Las Vegas Raiders,rai,New York Jets,nyj,New York Jets,nyj,14,2013
966,Cleveland Browns,cle,New England Patriots,nwe,New England Patriots,nwe,14,2013
967,Atlanta Falcons,atl,Green Bay Packers,gnb,Green Bay Packers,gnb,14,2013
968,Kansas City Chiefs,kan,Washington Football Team,was,Kansas City Chiefs,kan,14,2013
969,Minnesota Vikings,min,Baltimore Ravens,rav,Baltimore Ravens,rav,14,2013
970,Tennessee Titans,oti,Denver Broncos,den,Denver Broncos,den,14,2013
971,Los Angeles Rams,ram,Arizona Cardinals,crd,Arizona Cardinals,crd,14,2013
972,New York Giants,nyg,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,14,2013
973,Seattle Seahawks,sea,San Francisco 49ers,sfo,San Francisco 49ers,sfo,14,2013
974,Carolina Panthers,car,New Orleans Saints,nor,New Orleans Saints,nor,14,2013
975,Dallas Cowboys,dal,Chicago Bears,chi,Chicago Bears,chi,14,2013
976,Los Angeles Chargers,sdg,Denver Broncos,den,Los Angeles Chargers,sdg,15,2013
977,San Francisco 49ers,sfo,Tampa Bay Buccaneers,tam,San Francisco 49ers,sfo,15,2013
978,Philadelphia Eagles,phi,Minnesota Vikings,min,Minnesota Vikings,min,15,2013
979,New England Patriots,nwe,Miami Dolphins,mia,Miami Dolphins,mia,15,2013
980,Buffalo Bills,buf,Jacksonville Jaguars,jax,Buffalo Bills,buf,15,2013
981,Houston Texans,htx,Indianapolis Colts,clt,Indianapolis Colts,clt,15,2013
982,Washington Football Team,was,Atlanta Falcons,atl,Atlanta Falcons,atl,15,2013
983,Seattle Seahawks,sea,New York Giants,nyg,Seattle Seahawks,sea,15,2013
984,Chicago Bears,chi,Cleveland Browns,cle,Chicago Bears,chi,15,2013
985,New York Jets,nyj,Carolina Panthers,car,Carolina Panthers,car,15,2013
986,Kansas City Chiefs,kan,Las Vegas Raiders,rai,Kansas City Chiefs,kan,15,2013
987,New Orleans Saints,nor,Los Angeles Rams,ram,Los Angeles Rams,ram,15,2013
988,Green Bay Packers,gnb,Dallas Cowboys,dal,Green Bay Packers,gnb,15,2013
989,Arizona Cardinals,crd,Tennessee Titans,oti,Arizona Cardinals,crd,15,2013
990,Cincinnati Bengals,cin,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,15,2013
991,Baltimore Ravens,rav,Detroit Lions,det,Baltimore Ravens,rav,15,2013
992,Tampa Bay Buccaneers,tam,Los Angeles Rams,ram,Los Angeles Rams,ram,16,2013
993,Minnesota Vikings,min,Cincinnati Bengals,cin,Cincinnati Bengals,cin,16,2013
994,Miami Dolphins,mia,Buffalo Bills,buf,Buffalo Bills,buf,16,2013
995,Cleveland Browns,cle,New York Jets,nyj,New York Jets,nyj,16,2013
996,Indianapolis Colts,clt,Kansas City Chiefs,kan,Indianapolis Colts,clt,16,2013
997,Tennessee Titans,oti,Jacksonville Jaguars,jax,Tennessee Titans,oti,16,2013
998,Denver Broncos,den,Houston Texans,htx,Denver Broncos,den,16,2013
999,Dallas Cowboys,dal,Washington Football Team,was,Dallas Cowboys,dal,16,2013
1000,New Orleans Saints,nor,Carolina Panthers,car,Carolina Panthers,car,16,2013
1001,New York Giants,nyg,Detroit Lions,det,New York Giants,nyg,16,2013
1002,Arizona Cardinals,crd,Seattle Seahawks,sea,Arizona Cardinals,crd,16,2013
1003,Las Vegas Raiders,rai,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,16,2013
1004,New England Patriots,nwe,Baltimore Ravens,rav,New England Patriots,nwe,16,2013
1005,Pittsburgh Steelers,pit,Green Bay Packers,gnb,Pittsburgh Steelers,pit,16,2013
1006,Chicago Bears,chi,Philadelphia Eagles,phi,Philadelphia Eagles,phi,16,2013
1007,Atlanta Falcons,atl,San Francisco 49ers,sfo,San Francisco 49ers,sfo,16,2013
1008,Baltimore Ravens,rav,Cincinnati Bengals,cin,Cincinnati Bengals,cin,17,2013
1009,Cleveland Browns,cle,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,17,2013
1010,Houston Texans,htx,Tennessee Titans,oti,Tennessee Titans,oti,17,2013
1011,New York Jets,nyj,Miami Dolphins,mia,New York Jets,nyj,17,2013
1012,Jacksonville Jaguars,jax,Indianapolis Colts,clt,Indianapolis Colts,clt,17,2013
1013,Washington Football Team,was,New York Giants,nyg,New York Giants,nyg,17,2013
1014,Carolina Panthers,car,Atlanta Falcons,atl,Carolina Panthers,car,17,2013
1015,Detroit Lions,det,Minnesota Vikings,min,Minnesota Vikings,min,17,2013
1016,Green Bay Packers,gnb,Chicago Bears,chi,Green Bay Packers,gnb,17,2013
1017,Denver Broncos,den,Las Vegas Raiders,rai,Denver Broncos,den,17,2013
1018,Buffalo Bills,buf,New England Patriots,nwe,New England Patriots,nwe,17,2013
1019,Tampa Bay Buccaneers,tam,New Orleans Saints,nor,New Orleans Saints,nor,17,2013
1020,San Francisco 49ers,sfo,Arizona Cardinals,crd,San Francisco 49ers,sfo,17,2013
1021,Los Angeles Rams,ram,Seattle Seahawks,sea,Seattle Seahawks,sea,17,2013
1022,Kansas City Chiefs,kan,Los Angeles Chargers,sdg,Los Angeles Chargers,sdg,17,2013
1023,Philadelphia Eagles,phi,Dallas Cowboys,dal,Philadelphia Eagles,phi,17,2013
1024,Green Bay Packers,gnb,Seattle Seahawks,sea,Seattle Seahawks,sea,1,2014
1025,Buffalo Bills,buf,Chicago Bears,chi,Buffalo Bills,buf,1,2014
1026,Minnesota Vikings,min,Los Angeles Rams,ram,Minnesota Vikings,min,1,2014
1027,Cincinnati Bengals,cin,Baltimore Ravens,rav,Cincinnati Bengals,cin,1,2014
1028,Cleveland Browns,cle,Pittsburgh Steelers,pit,Pittsburgh Steelers,pit,1,2014
1029,Jacksonville Jaguars,jax,Philadelphia Eagles,phi,Philadelphia Eagles,phi,1,2014
